CO2[ppm],roomID
406,1
403,1
403,1
403,1
403,1
403,1
400,1
400,1
400,1
400,1
400,1
394,1
394,1
394,1
394,1
394,1
400,1
400,1
400,1
400,1
400,1
402,1
402,1
402,1
402,1
402,1
402,1
402,1
402,1
402,1
402,1
400,1
400,1
400,1
400,1
400,1
404,1
404,1
404,1
404,1
404,1
400,1
400,1
400,1
400,1
400,1
400,1
400,1
400,1
400,1
400,1
395,1
395,1
395,1
395,1
395,1
395,1
395,1
395,1
395,1
395,1
387,1
387,1
387,1
387,1
387,1
396,1
396,1
396,1
396,1
396,1
395,1
395,1
395,1
395,1
395,1
396,1
396,1
396,1
396,1
396,1
396,1
388,1
388,1
388,1
388,1
387,1
387,1
387,1
387,1
387,1
387,1
388,1
388,1
388,1
388,1
390,1
390,1
390,1
390,1
390,1
390,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
389,1
389,1
389,1
389,1
389,1
389,1
389,1
389,1
389,1
389,1
389,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
385,1
385,1
385,1
385,1
385,1
385,1
385,1
385,1
385,1
385,1
385,1
392,1
392,1
392,1
392,1
392,1
385,1
385,1
385,1
385,1
385,1
381,1
381,1
381,1
381,1
381,1
385,1
385,1
385,1
385,1
382,1
382,1
382,1
382,1
382,1
382,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
392,1
384,1
384,1
384,1
384,1
384,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
379,1
384,1
384,1
384,1
384,1
384,1
379,1
379,1
379,1
379,1
379,1
382,1
382,1
382,1
382,1
382,1
376,1
376,1
376,1
376,1
376,1
376,1
376,1
376,1
376,1
376,1
370,1
370,1
370,1
370,1
370,1
378,1
378,1
378,1
378,1
378,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
376,1
376,1
376,1
376,1
376,1
373,1
373,1
373,1
373,1
373,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
378,1
388,1
388,1
388,1
388,1
388,1
377,1
377,1
377,1
377,1
377,1
374,1
374,1
374,1
374,1
374,1
372,1
372,1
372,1
372,1
372,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
377,1
373,1
373,1
373,1
373,1
373,1
370,1
370,1
370,1
370,1
370,1
377,1
377,1
377,1
377,1
377,1
374,1
374,1
374,1
374,1
374,1
371,1
371,1
371,1
371,1
371,1
372,1
372,1
372,1
372,1
372,1
373,1
373,1
373,1
373,1
373,1
